ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
85633,Sasabe,AZ,Post Office or large volume customer,85633,Zip Matches ZCTA
85634,Sells,AZ,Zip Code Area,85634,Zip Matches ZCTA
85635,Sierra Vista,AZ,Zip Code Area,85635,Zip Matches ZCTA
85636,Sierra Vista,AZ,Post Office or large volume customer,85635,Spatial join to ZCTA
85637,Sonoita,AZ,Zip Code Area,85637,Zip Matches ZCTA
85638,Tombstone,AZ,Zip Code Area,85638,Zip Matches ZCTA
85639,Topawa,AZ,Post Office or large volume customer,85634,Spatial join to ZCTA
85640,Tumacacori,AZ,Zip Code Area,85640,Zip Matches ZCTA
85641,Vail,AZ,Zip Code Area,85641,Zip Matches ZCTA
85643,Willcox,AZ,Zip Code Area,85643,Zip Matches ZCTA
85644,Willcox,AZ,Post Office or large volume customer,85643,Spatial join to ZCTA
85645,Amado,AZ,Zip Code Area,85645,Zip Matches ZCTA
85646,Tubac,AZ,Zip Code Area,85646,Zip Matches ZCTA
85648,Rio Rico,AZ,Zip Code Area,85648,Zip Matches ZCTA
85650,Sierra Vista,AZ,Zip Code Area,85650,Zip Matches ZCTA
85652,Cortaro,AZ,Post Office or large volume customer,85742,Spatial join to ZCTA
85653,Marana,AZ,Zip Code Area,85653,Zip Matches ZCTA
85654,Rillito,AZ,Post Office or large volume customer,85654,Zip Matches ZCTA
85655,Douglas,AZ,Post Office or large volume customer,85607,Spatial join to ZCTA
85658,Marana,AZ,Zip Code Area,85658,Zip Matches ZCTA
85670,Fort Huachuca,AZ,Post Office or large volume customer,85635,Spatial join to ZCTA
85671,Sierra Vista,AZ,Post Office or large volume customer,85635,Spatial join to ZCTA
85701,Tucson,AZ,Zip Code Area,85701,Zip Matches ZCTA
85702,Tucson,AZ,Post Office or large volume customer,85701,Spatial join to ZCTA
85703,Tucson,AZ,Post Office or large volume customer,85705,Spatial join to ZCTA
85704,Tucson,AZ,Zip Code Area,85704,Zip Matches ZCTA
85705,Tucson,AZ,Zip Code Area,85705,Zip Matches ZCTA
85706,Tucson,AZ,Zip Code Area,85706,Zip Matches ZCTA
85707,Tucson,AZ,Zip Code Area,85707,Zip Matches ZCTA
85708,Tucson,AZ,Zip Code Area,85708,Zip Matches ZCTA
85709,Tucson,AZ,Zip Code Area,85745,Spatial join to ZCTA
85710,Tucson,AZ,Zip Code Area,85710,Zip Matches ZCTA
85711,Tucson,AZ,Zip Code Area,85711,Zip Matches ZCTA
85712,Tucson,AZ,Zip Code Area,85712,Zip Matches ZCTA
85713,Tucson,AZ,Zip Code Area,85713,Zip Matches ZCTA
85714,Tucson,AZ,Zip Code Area,85714,Zip Matches ZCTA
85715,Tucson,AZ,Zip Code Area,85715,Zip Matches ZCTA
85716,Tucson,AZ,Zip Code Area,85716,Zip Matches ZCTA
85717,Tucson,AZ,Post Office or large volume customer,85719,Spatial join to ZCTA
85718,Tucson,AZ,Zip Code Area,85718,Zip Matches ZCTA
85719,Tucson,AZ,Zip Code Area,85719,Zip Matches ZCTA
85720,Tucson,AZ,Post Office or large volume customer,85701,Spatial join to ZCTA
85721,Tucson,AZ,Zip Code Area,85719,Spatial join to ZCTA
85722,Tucson,AZ,Post Office or large volume customer,85719,Spatial join to ZCTA
85723,Tucson,AZ,Post Office or large volume customer,85723,Zip Matches ZCTA
85724,Tucson,AZ,Post Office or large volume customer,85724,Zip Matches ZCTA
85725,Tucson,AZ,Post Office or large volume customer,85713,Spatial join to ZCTA
85726,Tucson,AZ,Post Office or large volume customer,85713,Zip manually moved for population
85728,Tucson,AZ,Post Office or large volume customer,85718,Spatial join to ZCTA
85730,Tucson,AZ,Zip Code Area,85730,Zip Matches ZCTA
85731,Tucson,AZ,Post Office or large volume customer,85710,Spatial join to ZCTA
85732,Tucson,AZ,Post Office or large volume customer,85711,Spatial join to ZCTA
85733,Tucson,AZ,Post Office or large volume customer,85719,Spatial join to ZCTA
85734,Tucson,AZ,Post Office or large volume customer,85756,Spatial join to ZCTA
85735,Tucson,AZ,Zip Code Area,85735,Zip Matches ZCTA
85736,Tucson,AZ,Zip Code Area,85736,Zip Matches ZCTA
85737,Tucson,AZ,Zip Code Area,85737,Zip Matches ZCTA
85738,Catalina,AZ,Post Office or large volume customer,85739,Spatial join to ZCTA
85739,Tucson,AZ,Zip Code Area,85739,Zip Matches ZCTA
85740,Tucson,AZ,Post Office or large volume customer,85704,Spatial join to ZCTA
85741,Tucson,AZ,Zip Code Area,85741,Zip Matches ZCTA
85742,Tucson,AZ,Zip Code Area,85742,Zip Matches ZCTA
85743,Tucson,AZ,Zip Code Area,85743,Zip Matches ZCTA
85744,Tucson,AZ,Post Office or large volume customer,85747,Spatial join to ZCTA
85745,Tucson,AZ,Zip Code Area,85745,Zip Matches ZCTA
85746,Tucson,AZ,Zip Code Area,85746,Zip Matches ZCTA
85747,Tucson,AZ,Zip Code Area,85747,Zip Matches ZCTA
85748,Tucson,AZ,Zip Code Area,85748,Zip Matches ZCTA
85749,Tucson,AZ,Zip Code Area,85749,Zip Matches ZCTA
85750,Tucson,AZ,Zip Code Area,85750,Zip Matches ZCTA
85751,Tucson,AZ,Post Office or large volume customer,85715,Spatial join to ZCTA
85752,Tucson,AZ,Post Office or large volume customer,85741,Spatial join to ZCTA
85754,Tucson,AZ,Post Office or large volume customer,85745,Spatial join to ZCTA
85755,Tucson,AZ,Zip Code Area,85755,Zip Matches ZCTA
