name,contributor_zip,total_raised
ERICA FOR US,27560,160
ERICA FOR US,27563,25
ERICA FOR US,27574,5600
ERICA FOR US,27576,1000
ERICA FOR US,27587,240
ERICA FOR US,27589,850
ERICA FOR US,27591,25
ERICA FOR US,27596,150
ERICA FOR US,27597,20
ERICA FOR US,27601,200
ERICA FOR US,27603,210
ERICA FOR US,27604,1330
ERICA FOR US,27605,2670
ERICA FOR US,27606,916
ERICA FOR US,27607,60
ERICA FOR US,27608,75
ERICA FOR US,27609,360
ERICA FOR US,27610,235
ERICA FOR US,27612,3440
ERICA FOR US,27613,393.5
ERICA FOR US,27614,1370
ERICA FOR US,27615,10
ERICA FOR US,27616,625
ERICA FOR US,27617,273
ERICA FOR US,27699,50
ERICA FOR US,27701,315
ERICA FOR US,27703,543.2
ERICA FOR US,27704,235
ERICA FOR US,27705,1007.5
ERICA FOR US,27707,490.2
ERICA FOR US,27709,100
ERICA FOR US,27712,150
ERICA FOR US,27713,845
ERICA FOR US,27801,45
ERICA FOR US,27803,75
ERICA FOR US,27804,250
ERICA FOR US,27817,50
ERICA FOR US,27828,15
ERICA FOR US,27831,3020
ERICA FOR US,27832,10465
ERICA FOR US,27834,25
ERICA FOR US,27839,95.2
ERICA FOR US,27842,7100
ERICA FOR US,27850,3400.2
ERICA FOR US,27856,225
ERICA FOR US,27858,140
ERICA FOR US,27863,10
ERICA FOR US,27867,50
ERICA FOR US,27870,10340
ERICA FOR US,27872,100
ERICA FOR US,27886,145
ERICA FOR US,27889,95
ERICA FOR US,27890,225
ERICA FOR US,27892,50
ERICA FOR US,27897,25
ERICA FOR US,27910,100
ERICA FOR US,27928,1025
ERICA FOR US,27932,16404.4
ERICA FOR US,27937,100
ERICA FOR US,27938,20
ERICA FOR US,27949,325
ERICA FOR US,28018,25
ERICA FOR US,28025,10
ERICA FOR US,28026,100
ERICA FOR US,28027,125
ERICA FOR US,28037,25
ERICA FOR US,28043,100
ERICA FOR US,28054,25
ERICA FOR US,28078,25
ERICA FOR US,28079,25
ERICA FOR US,28081,100
ERICA FOR US,28104,5
ERICA FOR US,28117,25
ERICA FOR US,28124,1
ERICA FOR US,28146,100
ERICA FOR US,28147,10
ERICA FOR US,28150,20
ERICA FOR US,28163,30
ERICA FOR US,28166,1700
ERICA FOR US,28173,10
ERICA FOR US,28202,25
ERICA FOR US,28203,25
ERICA FOR US,28205,115
ERICA FOR US,28210,75
ERICA FOR US,28211,100
ERICA FOR US,28216,210
ERICA FOR US,28226,125
ERICA FOR US,28227,25
ERICA FOR US,28269,100
ERICA FOR US,28270,103.75
ERICA FOR US,28277,15
ERICA FOR US,28301,100
ERICA FOR US,28304,30
ERICA FOR US,28306,5
ERICA FOR US,28307,10
ERICA FOR US,28311,125
ERICA FOR US,28334,25
ERICA FOR US,28374,35
ERICA FOR US,28396,25
ERICA FOR US,28401,65
ERICA FOR US,28403,25
ERICA FOR US,28405,275
ERICA FOR US,28409,125
ERICA FOR US,28411,25
ERICA FOR US,28412,160
ERICA FOR US,28422,10
ERICA FOR US,28429,100
ERICA FOR US,28451,15
ERICA FOR US,28465,20
ERICA FOR US,28469,10
ERICA FOR US,28470,15
ERICA FOR US,28480,5300
ERICA FOR US,28501,115
ERICA FOR US,28504,200
ERICA FOR US,28510,166
ERICA FOR US,28512,85
ERICA FOR US,28516,125
ERICA FOR US,28532,250
ERICA FOR US,28540,32
ERICA FOR US,28560,1012
ERICA FOR US,28561,25
ERICA FOR US,28562,2529
ERICA FOR US,28563,175
ERICA FOR US,28571,170
ERICA FOR US,28573,135
ERICA FOR US,28580,250
ERICA FOR US,28584,10
ERICA FOR US,28590,250
ERICA FOR US,28594,170
ERICA FOR US,28607,45
ERICA FOR US,28613,25
ERICA FOR US,28625,1
ERICA FOR US,28645,50
ERICA FOR US,28676,25
ERICA FOR US,28711,50
ERICA FOR US,28712,120
ERICA FOR US,28715,176.25
ERICA FOR US,28716,60
ERICA FOR US,28741,15
ERICA FOR US,28744,30
ERICA FOR US,28748,40
ERICA FOR US,28751,25
ERICA FOR US,28753,50
ERICA FOR US,28754,100
ERICA FOR US,28778,20
ERICA FOR US,28781,25
ERICA FOR US,28785,20
ERICA FOR US,28786,50
ERICA FOR US,28801,175
ERICA FOR US,28802,25
ERICA FOR US,28803,280
ERICA FOR US,28804,185
ERICA FOR US,28805,20
ERICA FOR US,28806,362.5
ERICA FOR US,28902,50
ERICA FOR US,28904,50
ERICA FOR US,28906,615
ERICA FOR US,28909,15
ERICA FOR US,29115,20
ERICA FOR US,29210,10
ERICA FOR US,29562,35
ERICA FOR US,29910,1.28
ERICA FOR US,30033,6.25
ERICA FOR US,30039,75
ERICA FOR US,30062,100
ERICA FOR US,30082,5
ERICA FOR US,30102,6.25
ERICA FOR US,30248,2.5
ERICA FOR US,30296,50
ERICA FOR US,30309,100
ERICA FOR US,30312,275
ERICA FOR US,30329,125
ERICA FOR US,30360,3
ERICA FOR US,30559,100
ERICA FOR US,30606,6.25
ERICA FOR US,30609,6.25
ERICA FOR US,31401,5
ERICA FOR US,32092,25
ERICA FOR US,32257,10
ERICA FOR US,32303,100
ERICA FOR US,32310,10
ERICA FOR US,32601,10
ERICA FOR US,32607,20.2
ERICA FOR US,32725,2.5
ERICA FOR US,32855,5
ERICA FOR US,33311,20
ERICA FOR US,33467,25
ERICA FOR US,33701,6.25
ERICA FOR US,33705,100
ERICA FOR US,33713,5
ERICA FOR US,33903,100
ERICA FOR US,34285,20
ERICA FOR US,34482,6.25
ERICA FOR US,37122,30
ERICA FOR US,37221,25
ERICA FOR US,37664,25
ERICA FOR US,37701,2.5
ERICA FOR US,38104,125
ERICA FOR US,39470,5
ERICA FOR US,40014,6.25
ERICA FOR US,40065,25
ERICA FOR US,43019,6.25
ERICA FOR US,43162,100
ERICA FOR US,43221,2.5
ERICA FOR US,44053,2.5
ERICA FOR US,44240,100
ERICA FOR US,45241,500
ERICA FOR US,45387,12.5
ERICA FOR US,45503,2.5
ERICA FOR US,46032,20
ERICA FOR US,46220,5
ERICA FOR US,46228,2.5
ERICA FOR US,46268,25
ERICA FOR US,48085,35
ERICA FOR US,48301,10
ERICA FOR US,48334,1000
ERICA FOR US,48473,20
ERICA FOR US,48603,6.25
ERICA FOR US,48843,5
ERICA FOR US,49006,2.5
ERICA FOR US,49418,25
ERICA FOR US,52802,5
ERICA FOR US,53202,30
ERICA FOR US,53578,25
ERICA FOR US,53705,30
ERICA FOR US,55337,10
ERICA FOR US,55345,100
ERICA FOR US,55407,22.5
ERICA FOR US,55412,10
ERICA FOR US,55414,15
ERICA FOR US,55418,3
ERICA FOR US,55441,18
ERICA FOR US,56283,2.5
ERICA FOR US,60540,20
ERICA FOR US,60608,25
ERICA FOR US,60609,6.25
ERICA FOR US,60610,5
ERICA FOR US,60614,25
ERICA FOR US,60618,15
ERICA FOR US,60622,50
ERICA FOR US,60626,10
ERICA FOR US,60640,20
ERICA FOR US,62522,40
ERICA FOR US,63117,5
ERICA FOR US,63385,5
ERICA FOR US,64109,3
ERICA FOR US,65737,25
ERICA FOR US,66604,10
ERICA FOR US,67235,10
ERICA FOR US,68116,6.15
ERICA FOR US,70115,20
ERICA FOR US,71949,100
ERICA FOR US,72205,5
ERICA FOR US,72207,2.5
ERICA FOR US,72713,2.5
ERICA FOR US,72714,2.5
ERICA FOR US,72715,2.5
ERICA FOR US,73505,50
ERICA FOR US,75087,5
ERICA FOR US,75240,25
ERICA FOR US,75243,2
ERICA FOR US,75244,2.5
ERICA FOR US,76012,200
ERICA FOR US,76104,2
ERICA FOR US,76179,50
ERICA FOR US,77008,5
ERICA FOR US,77043,10
ERICA FOR US,77046,50
ERICA FOR US,77373,6.25
ERICA FOR US,77396,25
ERICA FOR US,77450,12.5
ERICA FOR US,78209,2.5
ERICA FOR US,78238,6.25
ERICA FOR US,78261,25
ERICA FOR US,78612,2.5
ERICA FOR US,78703,25
ERICA FOR US,78751,50
ERICA FOR US,78758,6.25
ERICA FOR US,80010,15
ERICA FOR US,80023,100
ERICA FOR US,80113,25
ERICA FOR US,80121,25
ERICA FOR US,80203,10
ERICA FOR US,80206,5
ERICA FOR US,80249,4
ERICA FOR US,80304,6.25
ERICA FOR US,80919,12.5
ERICA FOR US,83440,3.75
ERICA FOR US,83646,100
ERICA FOR US,84088,5
ERICA FOR US,84120,2.5
ERICA FOR US,84606,4
ERICA FOR US,85022,100
ERICA FOR US,85050,50
ERICA FOR US,85225,50
ERICA FOR US,85259,6.25
ERICA FOR US,85339,6.25
ERICA FOR US,85712,2.5
ERICA FOR US,85716,21.74
ERICA FOR US,86315,10
ERICA FOR US,86336,50
ERICA FOR US,87102,25
ERICA FOR US,88011,3
ERICA FOR US,89119,55
ERICA FOR US,90006,25
ERICA FOR US,90024,25
ERICA FOR US,90026,2.5
ERICA FOR US,90029,3
ERICA FOR US,90033,5
ERICA FOR US,90034,12.5
ERICA FOR US,90036,2.5
ERICA FOR US,90041,6.25
ERICA FOR US,90046,12.5
ERICA FOR US,90047,1.25
ERICA FOR US,90049,6.25
ERICA FOR US,90064,20
ERICA FOR US,90068,5
ERICA FOR US,90210,2.5
ERICA FOR US,90212,5
ERICA FOR US,90292,50
ERICA FOR US,90402,72.5
ERICA FOR US,90802,2.5
ERICA FOR US,90807,4
ERICA FOR US,91104,25
ERICA FOR US,91214,2.5
ERICA FOR US,91311,2.5
ERICA FOR US,91342,5
ERICA FOR US,91350,3
ERICA FOR US,91356,5
ERICA FOR US,91367,200
ERICA FOR US,91406,10
ERICA FOR US,91423,1.25
ERICA FOR US,91504,10
ERICA FOR US,91505,6.25
ERICA FOR US,91711,25
ERICA FOR US,91761,12.5
ERICA FOR US,91786,5
ERICA FOR US,91911,20
ERICA FOR US,91915,10
ERICA FOR US,92064,5
ERICA FOR US,92103,6
ERICA FOR US,92114,3
ERICA FOR US,92116,5
ERICA FOR US,92122,5
ERICA FOR US,92276,5
ERICA FOR US,92620,50
ERICA FOR US,92656,20
ERICA FOR US,92662,10
ERICA FOR US,92708,3.75
ERICA FOR US,92870,5
ERICA FOR US,93004,2.5
ERICA FOR US,93010,2.5
ERICA FOR US,93060,6.25
ERICA FOR US,93117,25
ERICA FOR US,93306,20
ERICA FOR US,93401,2.5
ERICA FOR US,93430,10
ERICA FOR US,93444,10
ERICA FOR US,93923,54.11
ERICA FOR US,94002,20
ERICA FOR US,94022,100
ERICA FOR US,94025,10
ERICA FOR US,94041,3.22
ERICA FOR US,94061,74
ERICA FOR US,94102,39
ERICA FOR US,94109,5
ERICA FOR US,94110,36.25
ERICA FOR US,94112,12.5
ERICA FOR US,94114,76.25
ERICA FOR US,94117,8.75
ERICA FOR US,94130,2.5
ERICA FOR US,94134,6.25
ERICA FOR US,94301,156.25
ERICA FOR US,94533,200
ERICA FOR US,94558,6.25
ERICA FOR US,94607,25
ERICA FOR US,94702,22.75
ERICA FOR US,94703,2.5
ERICA FOR US,94706,10
ERICA FOR US,94710,6.32
ERICA FOR US,94801,2.5
ERICA FOR US,94925,25
ERICA FOR US,95004,20
ERICA FOR US,95006,6.25
ERICA FOR US,95030,50
ERICA FOR US,95062,10
ERICA FOR US,95065,12.5
ERICA FOR US,95112,25
ERICA FOR US,95128,20.2
ERICA FOR US,95129,10
ERICA FOR US,95405,6.25
ERICA FOR US,95524,2.5
ERICA FOR US,95757,25
ERICA FOR US,95815,12.5
ERICA FOR US,95822,99.99
ERICA FOR US,95841,5
ERICA FOR US,95991,20
ERICA FOR US,96349,25
ERICA FOR US,96572,6.25
ERICA FOR US,97202,1000
ERICA FOR US,97206,5
ERICA FOR US,97209,10
ERICA FOR US,97214,21.25
